,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17,Misc
29,,Poverty,Indigenous,Literacy,Sexual and reproductive health,River basins,Reliable energy,Labour rights,Resilient infrastructure,Income growth,Natural heritage,Obsolescence,Global mean temperature,Marine fisheries,Land loss,Inclusive societies,Women entrepreneurs,Inter-generational
30,,Produce,Infected,Literacy skills,Sexual exploitation,Rivers,Renewable,Micro finance,Resource use efficiency,Income inequality,Over crowding,Overconsumption,Global temperature,Marine Parks,Land use and sustainability,society,World Trade Organization,Irregular migration
31,,Productivity,International health policy,Numeracy,Sexual violence,Safe drinking water,Renewable energy,Migrant workers,Roads,Indigenous,Pollution,Production,Global warming,Marine pollution,Manage forests,Institutions,,Kaitiakitanga
32,,Quality of life,International health regulations,Preprimary education,Social inclusion,Sanitation,Renewable power,Modern slavery,Sanitation,Inequalities,Population,Recycle,Greenhouse gas,Marine resources,Managed forests,Internally displaced,,Land locked developing countries
33,,Resilient agriculture,Malaria,Primary education,Trafficking,Sanitation and hygiene,Solar,Poverty eradication,Scientific research,Inequality,Population growth,Recycling,Greenhouse gas emissions,Ocean,Micro-organisms,Judiciary,,Least developed countries
34,,Rural infrastructure,Maternal mortality,Qualified teachers,Universal health coverage,Sanitation management,Solar energy,Poverty line,Society,Migrant remittance,Public spaces,Reduce waste generation,Greenhouse gases,Ocean acidification,Permaculture,Justice,,Leave no one behind
35,,Small-scale food producers,Measles,Refugees and learning,Violence,Sewerage,Solar power,Productive employment,Sustainable industrialisation,Migration,Public transport,Reduction,Ice loss,Ocean temperature,Plants,Justice for all,,Low impact agriculture
36,,Stunted growth,Medical,Scholarships,Violence against girls,Sustainable water management,Sustainable energy,Productivity,Sustainable infrastructure,Population growth,Resilient,Renewable,Low-carbon economy,Oceanography,Poaching,Legal identity,,Low impact farming
37,,Stunting,Mental health,School,Violence against women,Sustainable withdrawals,Sustainable energy services,Public policy,Technological capabilities,Poverty,Resilient buildings,Resource efficiency,Natural disasters,Oceans,Poverty,National Security,,Low impact horticulture
38,,Sufficient food,Mortality,School enrolment,Women,Third world,Sustainable power,Quality jobs,Technology,Public policy,Resource efficiency,Responsible production chains,Natural systems,Overfishing,Protected fauna,Non-violence,,Migrant rights
39,,Sustainable,Mortality rate,Secondary education,Women in work,Toilets,Vehicles,Quality of life,Trade,Quality of life,Resource needs,Retail,Ocean warming,Productive oceans,Protected flora,Organized crime,,Migration and policy
40,,Sustainable agriculture,Narcotic drug abuse,Teacher training,Women's rights,Untreated wastewater,Wave,Resource efficiency,Transborder infrastructure,Race,Risk reduction strategy,Retail industry,Paris Agreement,Protected areas,Protected species,Paris principles,,Policy coherence
41,,Sustainable food production,Neonatal mortality,Universal education,Workplace equality,Urban,Wind,Safe work,Transport,Racisim,Road safety,Reuse,Pollution,Sea grasses,Reforestation,Peace,,Pollution - Air
42,,Trade diversity,Polio,Vocational training,,Waste,Wind power,Secure work,Value chains,Reduce inequalities,Safe cities,Sustainable,Renewable,Seas,Soil,Peaceful societies,,Soil
43,,Trade restrictions,Premature mortality,Vulnerable,,Wastewater,Wind turbine,Slavery,Value chains and markets,Religion,Shanty,Sustainable consumption,Sea level rise ,Sustainable ecosystems,Soil degradation,Physical abuse,,Water
44,,Under nourished ,Preventable deaths,Women's rights,,Wastewater treatment,Wood,Social policies,Water infrastructure,Rural,Slums,Sustainable management, Rising sea ,Unregulated fishing,Species,Police,,Promotion of shared responsibilities
45,, Undernourished,Reducing malaria,,,Water,,Society,Water resources,Sex,Smart cities,Sustainable practices, Rising sea level,Water resources and policy,Strategic plan for biodiversity,Prevent violence,,Recycling
46,,Wasting,Reducing mortality,,,Water access,,Stable employment,,Sexism,Solid waste,Sustainable production,Temperature,,Terrestrial ecosystems,Psychological abuse,,Refugee crisis
47,,World’s hungry,Refugees and health services,,,Water disasters,,Stable jobs,,Social protection,Suburban,Sustainable public procurement,Warming,,Threatened species,Public policy,,Refugee rights
48,,,Reproductive health,,,Water ecosystems,,Sustainable consumption,,Society,Sustainable,Sustainable resource use,,,Tree,Quality of life,,Renewable
49,,,Road traffic accidents,,,Water efficiency,,Sustainable economic growth,,Vulnerable nations,Sustainable building,Sustainable supply chain,,,Tree species,Representative decision-making,,Resilient
50,,,Sexual and reproductive health-care,,,Water harvesting,,Sustainable production,,World trade,s,Sustainable tourism,,,Wetlands,Rule of law,,Reuse technologies
51,,,Sexual health,,,Water quality,,Sustainable tourism,,,Sustainable cities,Vehicles,,,,Security threats,,Small island developing states
52,,,Soil contamination,,,Water resources management,,Trade,,,city,Waste,,,,Sexual abuse,,Smart cities
53,,,Soil pollution,,,Water scarcity,,Unemployment,,,Sustainable communities,Wasteful consumption,,,,Sexual violence,,Smart grid
54,,,Tobacco control,,,Water supply,,Well-paid jobs,,,Sustainable urbanisation,Water,,,,Stolen assets,,Smart houses
55,,,Treatment of substance abuse,,,Water-related ecosystems,,Women migrants,,,Town planning,Water pollution,,,,Tax evasion,,Social protection policies
56,,,Tuberculosis,,,Water-use efficiency,,Work,,,Transport,Water supply,,,,Theft,,Social responsibility
57,,,Universal health,,,,,Work opportunities,,,Transport systems,,,,,Torture,,Sustainability
58,,,Universal health coverage,,,,,World trade,,,Urban,,,,,Trafficking,,Sustainable
59,,,Vaccines,,,,,Youth employment,,,Urban development,,,,,Transparency,,Sustainable development
60,,,Vaccines in developing countries,,,,,Youth unemployment,,,Urban planning,,,,,Un-sentenced detainees,,Sustainable Development Goals
61,,,Violence,,,,,,,,Urban sustainability,,,,,Unstable societies,,Sustainable development indicators
62,,,WASH,,,,,,,,Urbanisation,,,,,Victims of violence,,Sustainable management
63,,,"Water, Sanitation and Hygiene for All",,,,,,,,Waste,,,,,Violence,,Sustainable public transport
64,,,Water-borne disease,,,,,,,,Waste generation,,,,,Violence against women and children,,Sustainable societies
65,,,wellbeing,,,,,,,,Waste management,,,,,Violence rates,,Sustainable transport
66,,,well being,,,,,,,,Water,,,,,Weapon seizures,,Technology for sustainable development
67,,,well-being,,,,,,,,Water-related disasters,,,,,,,Tele-working
68,,,World Health Organisation,,,,,,,,,,,,,,,Transboundary cooperation
69,,,,,,,,,,,,,,,,,,Water sensitive revitalisation
70,,,,,,,,,,,,,,,,,,Well-being
